"subjects"	"S"	"flankers"	"R"	"rt"
"2835"	"3"	"left"	"congruent"	"left"	0.434051635164495
"1263"	"3"	"right"	"congruent"	"right"	0.773668981363203
"4083"	"3"	"left"	"congruent"	"left"	0.414443911027089
"1923"	"3"	"left"	"congruent"	"left"	0.37370543336228
"3387"	"3"	"left"	"incongruent"	"left"	0.316856852738509
"663"	"3"	"right"	"incongruent"	"right"	0.539280608522096
"387"	"3"	"left"	"congruent"	"left"	0.452243810255943
"2019"	"3"	"left"	"congruent"	"right"	0.216951137992332
"243"	"3"	"left"	"congruent"	"right"	1.13891791186331
"3315"	"3"	"left"	"congruent"	"left"	0.305965172528388
"435"	"3"	"left"	"congruent"	"left"	0.162944997649063
"5067"	"3"	"left"	"incongruent"	"left"	0.243996877428168
"5295"	"3"	"right"	"congruent"	"right"	0.518067716319928
"1143"	"3"	"right"	"incongruent"	"right"	0.34236420311218
"4647"	"3"	"right"	"incongruent"	"right"	0.177925059687697
"3567"	"3"	"right"	"congruent"	"right"	0.691684380387029
"3591"	"3"	"right"	"incongruent"	"right"	0.283610928415518
"2547"	"3"	"left"	"congruent"	"left"	0.205663911081583
"4599"	"3"	"right"	"incongruent"	"right"	0.344889766997505
"3195"	"3"	"left"	"incongruent"	"left"	0.26885459619972
"2235"	"3"	"left"	"incongruent"	"left"	0.701612218720092
"3759"	"3"	"right"	"congruent"	"right"	0.445792777647783
"1335"	"3"	"right"	"incongruent"	"right"	0.549037260763188
"291"	"3"	"left"	"congruent"	"left"	0.685761061393248
"3531"	"3"	"left"	"incongruent"	"left"	0.349871904952154
"2967"	"3"	"right"	"incongruent"	"right"	0.604732880283692
"3951"	"3"	"right"	"congruent"	"right"	0.25312567328304
"4971"	"3"	"left"	"incongruent"	"left"	0.699364211952288
"3711"	"3"	"right"	"congruent"	"left"	0.317971085347599
"2487"	"3"	"right"	"incongruent"	"right"	0.179522068353542
"3627"	"3"	"left"	"incongruent"	"left"	0.171005378751911
"1311"	"3"	"right"	"congruent"	"right"	0.436109268289637
"4395"	"3"	"left"	"incongruent"	"left"	0.292796647639321
"3903"	"3"	"right"	"congruent"	"right"	0.498624936005763
"3003"	"3"	"left"	"incongruent"	"left"	0.563014829094676
"1360"	"4"	"right"	"congruent"	"right"	0.258161342453889
"4972"	"4"	"left"	"incongruent"	"left"	0.408530392684126
"1576"	"4"	"right"	"incongruent"	"right"	0.245358055083695
"460"	"4"	"left"	"incongruent"	"left"	0.225121007940533
"4576"	"4"	"right"	"congruent"	"right"	0.542524765862281
"4588"	"4"	"left"	"incongruent"	"left"	0.423594523993211
"4804"	"4"	"left"	"congruent"	"left"	0.200365218348387
"4324"	"4"	"left"	"congruent"	"left"	0.292837828380279
"964"	"4"	"left"	"congruent"	"left"	0.259150377708474
"220"	"4"	"left"	"incongruent"	"left"	0.241870771629348
"580"	"4"	"left"	"congruent"	"left"	0.300451052169144
"5272"	"4"	"right"	"incongruent"	"right"	0.395524334799275
"1780"	"4"	"left"	"congruent"	"left"	0.248966575554415
"2152"	"4"	"right"	"incongruent"	"left"	0.210630702796867
"4564"	"4"	"left"	"congruent"	"left"	0.227780354959094
"292"	"4"	"left"	"congruent"	"left"	0.200329156016801
"1396"	"4"	"left"	"congruent"	"left"	0.526230962012655
"496"	"4"	"right"	"congruent"	"right"	0.570250646253313
"1324"	"4"	"left"	"incongruent"	"left"	0.449186641814952
"2752"	"4"	"right"	"congruent"	"right"	0.266348749808639
"616"	"4"	"right"	"incongruent"	"right"	0.231867317515444
"4948"	"4"	"left"	"congruent"	"left"	0.388481091103237
"2452"	"4"	"left"	"congruent"	"left"	0.236005638111363
"3712"	"4"	"right"	"congruent"	"right"	0.337299846779708
"4456"	"4"	"right"	"incongruent"	"right"	0.239974535858286
"4492"	"4"	"left"	"incongruent"	"left"	0.39877670600963
"4"	"4"	"left"	"congruent"	"left"	0.221653193614462
"4660"	"4"	"left"	"congruent"	"left"	0.259359031785752
"2500"	"4"	"left"	"congruent"	"left"	0.286829793470625
"76"	"4"	"left"	"incongruent"	"right"	0.405461954845892
"2632"	"4"	"right"	"incongruent"	"right"	0.282517095971615
"3148"	"4"	"left"	"incongruent"	"left"	0.349677076353207
"5368"	"4"	"right"	"incongruent"	"right"	0.26097290752887
"2644"	"4"	"left"	"congruent"	"left"	0.210745897496663
"1336"	"4"	"right"	"incongruent"	"right"	0.329785621021293
"3208"	"4"	"right"	"incongruent"	"right"	0.372112187416705
"4744"	"4"	"right"	"incongruent"	"right"	0.256622589999404
"4216"	"4"	"right"	"incongruent"	"left"	0.476633045885137
"3940"	"4"	"left"	"congruent"	"right"	0.412462416283736
"4528"	"4"	"right"	"congruent"	"right"	0.475893019577667
"1348"	"4"	"left"	"congruent"	"left"	0.229861624073176
"2320"	"4"	"right"	"congruent"	"right"	0.331085811071272
"1108"	"4"	"left"	"congruent"	"left"	0.196338024540558
"5380"	"4"	"left"	"congruent"	"left"	0.328304212444415
"3040"	"4"	"right"	"congruent"	"right"	0.264986038363953
"4156"	"4"	"left"	"incongruent"	"left"	0.405607870537928
"2800"	"4"	"right"	"congruent"	"right"	0.494982096984067
"5440"	"4"	"right"	"congruent"	"right"	0.220848333779088
"2944"	"4"	"right"	"congruent"	"right"	0.262067400785612
"1840"	"4"	"right"	"congruent"	"right"	0.331238180443325
"4036"	"4"	"left"	"congruent"	"left"	0.314880109114061
"5092"	"4"	"left"	"congruent"	"right"	0.241188900135846
"3436"	"4"	"left"	"incongruent"	"left"	0.44645674261
"4408"	"4"	"right"	"incongruent"	"right"	0.29437835789204
"5464"	"4"	"right"	"incongruent"	"right"	0.337343617092991
"1612"	"4"	"left"	"incongruent"	"left"	0.274359933466818
"3640"	"4"	"right"	"incongruent"	"right"	0.212147995553288
"976"	"4"	"right"	"congruent"	"right"	0.254057120121078
"5428"	"4"	"left"	"congruent"	"right"	0.517047518876676
"5476"	"4"	"left"	"congruent"	"left"	0.395891251785167
"3184"	"4"	"right"	"congruent"	"right"	0.540623058778283
"3760"	"4"	"right"	"congruent"	"left"	0.29066390533173
"2056"	"4"	"right"	"incongruent"	"right"	0.331123428434626
"1852"	"4"	"left"	"incongruent"	"left"	0.255490146727536
"424"	"4"	"right"	"incongruent"	"right"	0.20896233966841
"2764"	"4"	"left"	"incongruent"	"left"	0.308128142958332
"2044"	"4"	"left"	"incongruent"	"right"	0.365300855451749
"232"	"4"	"right"	"incongruent"	"left"	0.331864000875318
"3892"	"4"	"left"	"congruent"	"left"	0.228881845308965
"2080"	"4"	"right"	"congruent"	"right"	0.333728432096652
"3652"	"4"	"left"	"congruent"	"left"	0.360992885140086
"2212"	"4"	"left"	"congruent"	"left"	0.615617751643989
"880"	"4"	"right"	"congruent"	"right"	0.267655814546742
"3796"	"4"	"left"	"congruent"	"left"	0.259708768255323
"5488"	"4"	"right"	"congruent"	"right"	0.442608192331369
"1072"	"4"	"right"	"congruent"	"right"	0.187602477799904
"3604"	"4"	"left"	"congruent"	"left"	0.232413088144607
"5320"	"4"	"right"	"incongruent"	"right"	0.268172173578214
"196"	"4"	"left"	"congruent"	"left"	0.395362058721089
"1048"	"4"	"right"	"incongruent"	"right"	0.276486331455954
"5248"	"4"	"right"	"congruent"	"right"	0.296779647740767
"2092"	"4"	"left"	"incongruent"	"left"	0.349522718573411
"5296"	"4"	"right"	"congruent"	"right"	0.181594671406583
"712"	"4"	"right"	"incongruent"	"left"	0.244508602870582
"4984"	"4"	"right"	"incongruent"	"left"	0.262638429456388
"1912"	"4"	"right"	"incongruent"	"right"	0.530058807560551
"3592"	"4"	"right"	"incongruent"	"right"	0.220345644525292
"3232"	"4"	"right"	"congruent"	"right"	0.232039584604864
"2296"	"4"	"right"	"incongruent"	"right"	0.373735583581249
"844"	"4"	"left"	"incongruent"	"right"	0.468142372728591
"3388"	"4"	"left"	"incongruent"	"left"	0.33280463074265
"796"	"4"	"left"	"incongruent"	"left"	0.343870307863305
"952"	"4"	"right"	"incongruent"	"right"	0.27065799050333
"4288"	"4"	"right"	"congruent"	"right"	0.352089201804753
"4792"	"4"	"right"	"incongruent"	"right"	0.209109335730626
"592"	"4"	"right"	"congruent"	"right"	0.289710151780336
"2704"	"4"	"right"	"congruent"	"right"	0.224041026177456
"2608"	"4"	"right"	"congruent"	"right"	0.238694610132495
"2368"	"4"	"right"	"congruent"	"right"	0.197103426744137
"3916"	"4"	"left"	"incongruent"	"left"	0.246119432047012
"2788"	"4"	"left"	"congruent"	"left"	0.290179726356921
"1900"	"4"	"left"	"incongruent"	"left"	0.80201772989843
"4672"	"4"	"right"	"congruent"	"right"	0.305733184867139
"4192"	"4"	"right"	"congruent"	"right"	0.501693747757065
"916"	"4"	"left"	"congruent"	"left"	0.235300251283936
"2908"	"4"	"left"	"incongruent"	"left"	0.482560862588495
"244"	"4"	"left"	"congruent"	"left"	0.294899303694877
"3556"	"4"	"left"	"congruent"	"left"	0.48157090001913
"4840"	"4"	"right"	"incongruent"	"right"	0.42100521638441
"124"	"4"	"left"	"incongruent"	"right"	0.314701053296007
"5260"	"4"	"left"	"incongruent"	"left"	0.260510995290523
"1036"	"4"	"left"	"incongruent"	"left"	0.747346492127428
"3460"	"4"	"left"	"congruent"	"left"	0.299740421456669
"5116"	"4"	"left"	"incongruent"	"left"	0.222140409530517
"3904"	"4"	"right"	"congruent"	"right"	0.320670818810321
"5032"	"4"	"right"	"incongruent"	"right"	0.420733519082499
"3808"	"4"	"right"	"congruent"	"right"	0.370005503122992
"3376"	"4"	"right"	"congruent"	"right"	0.23301720013959
"2548"	"4"	"left"	"congruent"	"left"	0.434335087091025
"3400"	"4"	"right"	"incongruent"	"right"	0.255986871507218
"316"	"4"	"left"	"incongruent"	"left"	0.229169873446351
"3772"	"4"	"left"	"incongruent"	"left"	0.224291635127465
"4372"	"4"	"left"	"congruent"	"left"	0.261823071617212
"2344"	"4"	"right"	"incongruent"	"right"	0.21949437902764
"2068"	"4"	"left"	"congruent"	"left"	0.43541159409099
"5500"	"4"	"left"	"incongruent"	"left"	0.209497803242508
"4000"	"4"	"right"	"congruent"	"right"	0.357547500281536
"1528"	"4"	"right"	"incongruent"	"right"	0.299693078468644
"3160"	"4"	"right"	"incongruent"	"right"	0.45503276532111
"328"	"4"	"right"	"incongruent"	"right"	0.261852701504318
"1096"	"4"	"right"	"incongruent"	"right"	0.3400167608006
"4336"	"4"	"right"	"congruent"	"right"	0.292617509648001
"160"	"4"	"right"	"congruent"	"right"	0.388228343937568
"2812"	"4"	"left"	"incongruent"	"right"	0.549201497091162
"1252"	"4"	"left"	"congruent"	"left"	0.339312876312304
"556"	"4"	"left"	"incongruent"	"left"	0.216380899996138
"652"	"4"	"left"	"incongruent"	"left"	0.316203390427554
"1564"	"4"	"left"	"incongruent"	"left"	0.391331425790979
"1624"	"4"	"right"	"incongruent"	"right"	0.304376797590502
"2236"	"4"	"left"	"incongruent"	"left"	0.213081025219135
"1240"	"4"	"right"	"incongruent"	"right"	0.302906102214013
"724"	"4"	"left"	"congruent"	"left"	0.415600425046989
"4168"	"4"	"right"	"incongruent"	"left"	0.419770981939601
"4144"	"4"	"right"	"congruent"	"right"	0.226384497102632
"1168"	"4"	"right"	"congruent"	"right"	0.415965295465259
"2272"	"4"	"right"	"congruent"	"right"	0.577124918137917
"5452"	"4"	"left"	"incongruent"	"left"	0.319575936181818
"3820"	"4"	"left"	"incongruent"	"left"	0.210548063316282
"2464"	"4"	"right"	"congruent"	"right"	0.212778923726145
"532"	"4"	"left"	"congruent"	"left"	0.457312510534923
"868"	"4"	"left"	"congruent"	"right"	0.223377719717275
"3520"	"4"	"right"	"congruent"	"right"	0.201107020468646
"3844"	"4"	"left"	"congruent"	"right"	0.351114720133622
"3856"	"4"	"right"	"congruent"	"right"	1.20946624718287
"3664"	"4"	"right"	"congruent"	"right"	0.258706269021239
"2176"	"4"	"right"	"congruent"	"right"	0.424979939433214
"664"	"4"	"right"	"incongruent"	"right"	0.421392755026481
"256"	"4"	"right"	"congruent"	"right"	0.244912456547066
"832"	"4"	"right"	"congruent"	"left"	0.540105280668073
"4384"	"4"	"right"	"congruent"	"left"	0.246428982912956
"2140"	"4"	"left"	"incongruent"	"left"	0.547600414110717
"2668"	"4"	"left"	"incongruent"	"left"	0.397269354105199
"3496"	"4"	"right"	"incongruent"	"right"	0.228947082159378
"280"	"4"	"right"	"incongruent"	"right"	0.313461802362498
"4828"	"4"	"left"	"incongruent"	"left"	0.352207225185559
"64"	"4"	"right"	"congruent"	"right"	0.587140678495072
"352"	"4"	"right"	"congruent"	"right"	0.201315087871422
"3016"	"4"	"right"	"incongruent"	"right"	0.194089360568397
"1744"	"4"	"right"	"congruent"	"right"	0.228982432153953
"3316"	"4"	"left"	"congruent"	"left"	0.321782542484522
"1552"	"4"	"right"	"congruent"	"left"	0.243147677644133
"2920"	"4"	"right"	"incongruent"	"right"	0.291834839592633
"1456"	"4"	"right"	"congruent"	"right"	0.220896904009916
"4780"	"4"	"left"	"incongruent"	"left"	0.321797766846543
"2284"	"4"	"left"	"incongruent"	"right"	0.308885520303515
"1768"	"4"	"right"	"incongruent"	"right"	0.198439289337053
"100"	"4"	"left"	"congruent"	"left"	0.351880048314527
"2164"	"4"	"left"	"congruent"	"left"	0.470177122952129
"4300"	"4"	"left"	"incongruent"	"left"	0.281924027334359
"5020"	"4"	"left"	"incongruent"	"left"	0.403224398637627
"4552"	"4"	"right"	"incongruent"	"left"	0.380509352004401
"2980"	"4"	"left"	"congruent"	"right"	0.251212527880203
"2008"	"4"	"right"	"incongruent"	"right"	0.229665941453664
"1000"	"4"	"right"	"incongruent"	"right"	0.22744777769094
"5404"	"4"	"left"	"incongruent"	"left"	0.346343875098715
"856"	"4"	"right"	"incongruent"	"left"	0.525557990983396
"3064"	"4"	"right"	"incongruent"	"right"	0.215624824370701
"4228"	"4"	"left"	"congruent"	"left"	0.248926278004212
"5080"	"4"	"right"	"incongruent"	"left"	0.239948888763223
"1504"	"4"	"right"	"congruent"	"right"	0.204843924836223
"4480"	"4"	"right"	"congruent"	"right"	0.304071444965042
"3928"	"4"	"right"	"incongruent"	"right"	0.568676392301387
"2524"	"4"	"left"	"incongruent"	"left"	0.295814919616178
"1876"	"4"	"left"	"congruent"	"left"	0.374492583234368
"748"	"4"	"left"	"incongruent"	"left"	0.274002639367931
"4852"	"4"	"left"	"congruent"	"left"	0.289962815227784
"1084"	"4"	"left"	"incongruent"	"left"	0.608938527560634
"2692"	"4"	"left"	"congruent"	"left"	0.300480328937913
"400"	"4"	"right"	"congruent"	"right"	0.290194098101118
"3988"	"4"	"left"	"congruent"	"left"	0.355880505874482
"88"	"4"	"right"	"incongruent"	"right"	0.203660719751664
"4912"	"4"	"right"	"congruent"	"right"	0.403264042710237
"676"	"4"	"left"	"congruent"	"left"	0.255172353181406
"1312"	"4"	"right"	"congruent"	"right"	0.224156266444452
"1216"	"4"	"right"	"congruent"	"left"	0.28073547692132
"2560"	"4"	"right"	"congruent"	"right"	0.25345257265247
"3424"	"4"	"right"	"congruent"	"right"	0.465346240809581
"4084"	"4"	"left"	"congruent"	"left"	0.256094827901856
"5152"	"4"	"right"	"congruent"	"right"	0.259321411433681
"5056"	"4"	"right"	"congruent"	"right"	0.278881345973168
"4600"	"4"	"right"	"incongruent"	"right"	0.202672507751955
"1444"	"4"	"left"	"congruent"	"left"	0.299637523015023
"3580"	"4"	"left"	"incongruent"	"left"	0.347623616370004
"4312"	"4"	"right"	"incongruent"	"right"	0.194225216799775
"2128"	"4"	"right"	"congruent"	"right"	0.227849844642645
"4624"	"4"	"right"	"congruent"	"right"	0.214404797617849
"1288"	"4"	"right"	"incongruent"	"right"	0.278037458680134
"40"	"4"	"right"	"incongruent"	"right"	0.21172379801629
"1276"	"4"	"left"	"incongruent"	"left"	0.430828552032145
"2740"	"4"	"left"	"congruent"	"left"	0.28231907666108
"5176"	"4"	"right"	"incongruent"	"right"	0.282963111322122
"1636"	"4"	"left"	"congruent"	"left"	0.322412121148868
"1708"	"4"	"left"	"incongruent"	"left"	0.189330464993235
"376"	"4"	"right"	"incongruent"	"right"	0.45712142368366
"928"	"4"	"right"	"congruent"	"left"	0.366705744926074
"3568"	"4"	"right"	"congruent"	"right"	0.242053453127206
"1180"	"4"	"left"	"incongruent"	"right"	0.779047608861083
"208"	"4"	"right"	"congruent"	"right"	0.317457902123351
"2860"	"4"	"left"	"incongruent"	"left"	0.561890774196538
"4060"	"4"	"left"	"incongruent"	"left"	0.303319001121152
"5104"	"4"	"right"	"congruent"	"right"	0.427791308269853
"904"	"4"	"right"	"incongruent"	"left"	0.394152770166262
"3412"	"4"	"left"	"congruent"	"left"	0.195947599495129
"112"	"4"	"right"	"congruent"	"right"	0.259648902211524
"2572"	"4"	"left"	"incongruent"	"left"	0.289582945125292
"5284"	"4"	"left"	"congruent"	"left"	0.590890467714765
"3076"	"4"	"left"	"congruent"	"left"	0.346989472874074
"4612"	"4"	"left"	"congruent"	"left"	0.234296514400112
"2584"	"4"	"right"	"incongruent"	"right"	0.19071293378963
"3736"	"4"	"right"	"incongruent"	"left"	0.659984592671385
"3544"	"4"	"right"	"incongruent"	"left"	0.700645490176283
"1924"	"4"	"left"	"congruent"	"right"	0.324327950895298
"3484"	"4"	"left"	"incongruent"	"right"	0.277607263854987
"3448"	"4"	"right"	"incongruent"	"right"	0.274657078649753
"340"	"4"	"left"	"congruent"	"left"	0.222278702777661
"1936"	"4"	"right"	"congruent"	"right"	0.222617299410174
"1384"	"4"	"right"	"incongruent"	"right"	0.457269566963913
"1540"	"4"	"left"	"congruent"	"left"	0.478504435861568
"1816"	"4"	"right"	"incongruent"	"left"	0.743411251311376
"2488"	"4"	"right"	"incongruent"	"right"	0.265283093843717
"5212"	"4"	"left"	"incongruent"	"left"	0.377167898331893
"688"	"4"	"right"	"congruent"	"right"	0.337446709334317
"1144"	"4"	"right"	"incongruent"	"right"	0.283730888121934
"3292"	"4"	"left"	"incongruent"	"left"	0.191899214510937
"2824"	"4"	"right"	"incongruent"	"left"	0.252844697907173
"4444"	"4"	"left"	"incongruent"	"left"	0.359699904588324
"2992"	"4"	"right"	"congruent"	"right"	0.316345890433744
"1588"	"4"	"left"	"congruent"	"left"	0.480635092007201
"1984"	"4"	"right"	"congruent"	"right"	0.263547046091105
"988"	"4"	"left"	"incongruent"	"left"	0.542323784349694
"5356"	"4"	"left"	"incongruent"	"left"	0.307031890287794
"4504"	"4"	"right"	"incongruent"	"left"	0.459009224156324
"1792"	"4"	"right"	"congruent"	"right"	0.182782185235047
"3868"	"4"	"left"	"incongruent"	"left"	0.630184362218727
"568"	"4"	"right"	"incongruent"	"right"	0.237516709713323
"1204"	"4"	"left"	"congruent"	"left"	0.310965680273525
"3628"	"4"	"left"	"incongruent"	"right"	0.814178677777309
"3196"	"4"	"left"	"incongruent"	"left"	0.254243178978867
"4648"	"4"	"right"	"incongruent"	"right"	0.311516367200606
"4348"	"4"	"left"	"incongruent"	"left"	0.398616953527604
"3172"	"4"	"left"	"congruent"	"left"	0.259947456584026
"1492"	"4"	"left"	"congruent"	"left"	0.240547026308605
"5044"	"4"	"left"	"congruent"	"left"	0.231859801039511
"1156"	"4"	"left"	"congruent"	"left"	0.478673762634692
"4720"	"4"	"right"	"congruent"	"right"	0.22436708768739
"4960"	"4"	"right"	"congruent"	"right"	0.47740670325676
"2332"	"4"	"left"	"incongruent"	"right"	0.258527469105382
"940"	"4"	"left"	"incongruent"	"left"	0.353390805616442
"4636"	"4"	"left"	"incongruent"	"left"	0.297585879408532
"3268"	"4"	"left"	"congruent"	"left"	0.313001077605905
"772"	"4"	"left"	"congruent"	"right"	0.186824907234136
"544"	"4"	"right"	"congruent"	"right"	0.192039258460575
"3676"	"4"	"left"	"incongruent"	"right"	0.229678852609159
"5224"	"4"	"right"	"incongruent"	"right"	0.223407461145839
"2596"	"4"	"left"	"congruent"	"left"	0.278133098323112
"2956"	"4"	"left"	"incongruent"	"left"	0.292277896720631
"4096"	"4"	"right"	"congruent"	"right"	0.695867923092376
"2404"	"4"	"left"	"congruent"	"left"	0.537859576632065
"2848"	"4"	"right"	"congruent"	"right"	0.23772765319076
"5140"	"4"	"left"	"congruent"	"left"	0.218248725150768
"4996"	"4"	"left"	"congruent"	"left"	0.200697716505341
"4540"	"4"	"left"	"incongruent"	"left"	0.297388955943052
"5068"	"4"	"left"	"incongruent"	"right"	0.276395578377084
"5512"	"4"	"right"	"incongruent"	"left"	0.239707544652741
"5200"	"4"	"right"	"congruent"	"right"	0.277362377499944
"1696"	"4"	"right"	"congruent"	"right"	0.489375882658656
"1372"	"4"	"left"	"incongruent"	"right"	0.293792027101248
"484"	"4"	"left"	"congruent"	"left"	0.287827685178997
"4876"	"4"	"left"	"incongruent"	"left"	0.269252932106831
"172"	"4"	"left"	"incongruent"	"left"	0.257646137188659
"4732"	"4"	"left"	"incongruent"	"left"	0.25168655960227
"5344"	"4"	"right"	"congruent"	"right"	0.303265829655058
"1672"	"4"	"right"	"incongruent"	"right"	0.40794192373266
"2728"	"4"	"right"	"incongruent"	"right"	0.210792173513002
"3832"	"4"	"right"	"incongruent"	"right"	0.287040247078654
"3052"	"4"	"left"	"incongruent"	"left"	0.296702340195977
"1420"	"4"	"left"	"incongruent"	"left"	0.275191285629113
"2872"	"4"	"right"	"incongruent"	"right"	0.218365058098277
"2260"	"4"	"left"	"congruent"	"right"	0.22981262621054
"4684"	"4"	"left"	"incongruent"	"right"	0.243607841585213
"5128"	"4"	"right"	"incongruent"	"right"	0.548803883596675
"2032"	"4"	"right"	"congruent"	"right"	0.432550952302054
"3352"	"4"	"right"	"incongruent"	"right"	0.352778578690948
"1684"	"4"	"left"	"congruent"	"left"	0.300725614114402
"2836"	"4"	"left"	"congruent"	"left"	0.400607099270624
"3616"	"4"	"right"	"congruent"	"right"	0.415623696922997
"1408"	"4"	"right"	"congruent"	"left"	0.354522894395623
"1060"	"4"	"left"	"congruent"	"left"	0.314695652762366
"16"	"4"	"right"	"congruent"	"right"	0.515378794491205
"1480"	"4"	"right"	"incongruent"	"right"	0.354140569462431
"3244"	"4"	"left"	"incongruent"	"right"	0.179193357614171
"2020"	"4"	"left"	"congruent"	"left"	0.247382465166273
"3280"	"4"	"right"	"congruent"	"right"	0.239449879755081
"472"	"4"	"right"	"incongruent"	"right"	0.260252792734584
"4900"	"4"	"left"	"congruent"	"left"	0.215551113667371
"1804"	"4"	"left"	"incongruent"	"left"	0.345217839624838
"28"	"4"	"left"	"incongruent"	"left"	0.246173833204773
"784"	"4"	"right"	"congruent"	"right"	0.401000006216594
"2896"	"4"	"right"	"congruent"	"right"	0.318624128761673
"3100"	"4"	"left"	"incongruent"	"left"	0.273737213598643
"3976"	"4"	"right"	"incongruent"	"left"	0.620952386869964
"3304"	"4"	"right"	"incongruent"	"right"	0.337916110254089
"3328"	"4"	"right"	"congruent"	"right"	0.196190645494573
"4252"	"4"	"left"	"incongruent"	"left"	0.87152777286007
"700"	"4"	"left"	"incongruent"	"left"	0.345719767783759
"2884"	"4"	"left"	"congruent"	"left"	0.269247459225679
"2656"	"4"	"right"	"congruent"	"right"	0.202607693951905
"4276"	"4"	"left"	"congruent"	"left"	0.441808171534727
"1948"	"4"	"left"	"incongruent"	"left"	0.188123480570368
"3112"	"4"	"right"	"incongruent"	"right"	0.265035763423559
"2188"	"4"	"left"	"incongruent"	"left"	0.364208950081941
"4432"	"4"	"right"	"congruent"	"right"	0.378786053438953
"2116"	"4"	"left"	"congruent"	"right"	0.190848139527712
"364"	"4"	"left"	"incongruent"	"left"	0.594553772073079
"3952"	"4"	"right"	"congruent"	"left"	0.447800538044838
"3340"	"4"	"left"	"incongruent"	"left"	0.432034971090041
"3364"	"4"	"left"	"congruent"	"left"	0.497319345218128
"3028"	"4"	"left"	"congruent"	"left"	0.332073616039013
"3748"	"4"	"left"	"congruent"	"left"	0.33922989683331
"2428"	"4"	"left"	"incongruent"	"left"	0.605166971025133
"2380"	"4"	"left"	"incongruent"	"left"	0.328369529154062
"736"	"4"	"right"	"congruent"	"right"	0.265374222425799
"1192"	"4"	"right"	"incongruent"	"right"	0.389126964797716
"4240"	"4"	"right"	"congruent"	"left"	0.349857770682972
"3508"	"4"	"left"	"congruent"	"right"	0.397396926195716
"4072"	"4"	"right"	"incongruent"	"right"	0.471306857404016
"1960"	"4"	"right"	"incongruent"	"right"	0.213792872217405
"3004"	"4"	"left"	"incongruent"	"left"	0.279074748005341
"4696"	"4"	"right"	"incongruent"	"left"	0.549882971122526
"628"	"4"	"left"	"congruent"	"left"	0.51883453233224
"436"	"4"	"left"	"congruent"	"right"	0.349682091814066
"3220"	"4"	"left"	"congruent"	"left"	0.203800382949413
"5392"	"4"	"right"	"congruent"	"right"	0.301262698615059
"3784"	"4"	"right"	"incongruent"	"right"	0.212574456569844
"508"	"4"	"left"	"incongruent"	"left"	0.308881384611567
"4888"	"4"	"right"	"incongruent"	"right"	0.3366224209047
"760"	"4"	"right"	"incongruent"	"right"	0.187410944001131
"1660"	"4"	"left"	"incongruent"	"left"	1.13267991531895
"2476"	"4"	"left"	"incongruent"	"left"	0.366680086613888
"2620"	"4"	"left"	"incongruent"	"right"	0.413002196307382
"1720"	"4"	"right"	"incongruent"	"right"	0.249946390044071
"640"	"4"	"right"	"congruent"	"right"	0.213768721479348
"2248"	"4"	"right"	"incongruent"	"right"	0.20981234733224
"4048"	"4"	"right"	"congruent"	"right"	0.387800111607873
"4768"	"4"	"right"	"congruent"	"right"	0.198224236208492
"1012"	"4"	"left"	"congruent"	"right"	0.370206447026617
"3088"	"4"	"right"	"congruent"	"right"	0.254660234774303
"4396"	"4"	"left"	"incongruent"	"left"	0.315919984079346
"4708"	"4"	"left"	"congruent"	"left"	0.368033471212693
"2416"	"4"	"right"	"congruent"	"right"	0.208153882446001
"1132"	"4"	"left"	"incongruent"	"left"	0.193100485279908
"3472"	"4"	"right"	"congruent"	"right"	0.211786511497797
"2512"	"4"	"right"	"congruent"	"right"	0.252190692250865
"148"	"4"	"left"	"congruent"	"left"	0.280015775220097
"4120"	"4"	"right"	"incongruent"	"left"	0.228990547465079
"2392"	"4"	"right"	"incongruent"	"right"	0.275587700631894
"2224"	"4"	"right"	"congruent"	"right"	0.356907147964654
"4816"	"4"	"right"	"congruent"	"right"	0.260277848335256
"5308"	"4"	"left"	"incongruent"	"left"	0.219141648891871
"1828"	"4"	"left"	"congruent"	"left"	0.265933077948523
"2536"	"4"	"right"	"incongruent"	"left"	0.308578105982264
"2200"	"4"	"right"	"incongruent"	"right"	0.260819387267458
"4756"	"4"	"left"	"congruent"	"left"	0.494057687011889
"1228"	"4"	"left"	"incongruent"	"left"	0.252476056221112
"808"	"4"	"right"	"incongruent"	"right"	0.288755091826786
"4360"	"4"	"right"	"incongruent"	"right"	0.301491553618722
"1264"	"4"	"right"	"congruent"	"right"	0.307344263450246
"184"	"4"	"right"	"incongruent"	"right"	0.279629105794535
"1600"	"4"	"right"	"congruent"	"right"	0.188419754222175
"1120"	"4"	"right"	"congruent"	"right"	0.384724983690426
"5164"	"4"	"left"	"incongruent"	"right"	0.322564806407713
"1024"	"4"	"right"	"congruent"	"right"	0.35774075109383
"3532"	"4"	"left"	"incongruent"	"left"	0.504863125380174
"3964"	"4"	"left"	"incongruent"	"left"	0.32268570912164
"4420"	"4"	"left"	"congruent"	"left"	0.292570144570051
"1972"	"4"	"left"	"congruent"	"left"	0.335414229427782
"1996"	"4"	"left"	"incongruent"	"left"	0.195950947805317
"2356"	"4"	"left"	"congruent"	"left"	0.415049267453543
"1648"	"4"	"right"	"congruent"	"right"	0.700977327228362
"5008"	"4"	"right"	"congruent"	"right"	0.46480864567447
"3880"	"4"	"right"	"incongruent"	"right"	0.409923700481413
